Em,IDSessao,Pedido,IP,Pageviews
08/11/2012 15:08:00,919452833,,"66.249.75.174",1
08/11/2012 15:07:00,919452444,,"66.249.75.194",1
08/11/2012 15:01:00,919448608,,"157.56.229.23",1
08/11/2012 15:01:00,919448358,,"74.125.183.24",3
08/11/2012 15:01:00,919448238,,"66.249.75.179",1
08/11/2012 15:00:00,919448157,,"157.56.229.23",1
08/11/2012 14:58:00,919446525,,"157.56.229.187",1
08/11/2012 14:58:00,919446477,,"200.136.27.146",6
08/11/2012 14:57:00,919445831,,"187.113.38.228",1
08/11/2012 14:53:00,919443593,,"157.55.32.100",1
08/11/2012 14:53:00,919443350,,"157.55.32.100",1
08/11/2012 14:52:00,919442696,,"66.249.75.191",1
08/11/2012 14:51:00,919442140,,"66.249.75.195",1
08/11/2012 14:50:00,919441327,,"66.249.75.176",1
08/11/2012 14:49:00,919440894,,"66.249.75.179",1
08/11/2012 14:47:00,919439701,,"66.249.75.180",1
08/11/2012 14:43:00,919436833,,"65.55.52.86",1
08/11/2012 14:43:00,919436713,,"65.55.52.86",1
08/11/2012 14:42:00,919436586,,"65.55.52.86",1
08/11/2012 14:35:00,919432302,,"66.249.75.186",1
08/11/2012 14:31:00,919430193,,"157.55.35.44",1
08/11/2012 14:31:00,919430063,,"157.55.35.44",1
08/11/2012 14:31:00,919429998,,"157.55.35.44",1
08/11/2012 14:31:00,919429865,,"157.55.35.44",1
08/11/2012 14:22:00,919424512,,"157.55.35.91",1
08/11/2012 14:22:00,919424307,,"177.133.28.104",2
08/11/2012 14:16:00,919420950,,"66.249.75.191",1
08/11/2012 14:13:00,919418615,,"66.249.75.176",1
08/11/2012 14:09:00,919416048,,"66.249.75.198",1
08/11/2012 14:06:00,919414283,,"66.249.75.210",1
08/11/2012 14:03:00,919412435,,"66.249.75.213",1
08/11/2012 14:01:00,919411072,,"66.249.75.167",1
08/11/2012 13:59:00,919410295,,"66.249.75.216",1
08/11/2012 13:57:00,919409271,,"66.249.75.190",1
08/11/2012 13:50:00,919405015,,"66.249.75.210",1
08/11/2012 13:47:00,919403557,,"66.249.75.210",1
08/11/2012 13:37:00,919397738,,"66.249.75.175",1
08/11/2012 13:35:00,919396168,,"66.249.75.215",1
08/11/2012 13:34:00,919395919,,"66.249.75.170",1
08/11/2012 13:25:00,919390745,,"66.249.75.172",1
08/11/2012 12:11:00,919350420,,"66.249.75.203",1
08/11/2012 12:01:00,919345150,,"201.59.9.146",29
08/11/2012 11:59:00,919344130,,"177.180.137.161",1
08/11/2012 11:55:00,919342166,,"189.68.74.96",4
08/11/2012 10:55:00,919308413,,"74.125.178.148",1
08/11/2012 10:00:00,919279184,,"177.135.254.174",1
08/11/2012 08:22:00,919229617,,"200.252.98.130",6
08/11/2012 07:53:00,919218435,,"85.240.186.177",2
08/11/2012 07:47:00,919216094,,"66.249.75.199",1
08/11/2012 07:46:00,919215890,,"66.249.75.180",1
08/11/2012 07:43:00,919214610,,"66.249.75.218",1
08/11/2012 07:42:00,919214168,,"66.249.75.220",1
08/11/2012 07:38:00,919212827,,"66.249.75.198",1
08/11/2012 06:01:00,919179712,,"157.55.36.52",1
